,loss,val_loss,mssim,val_mssim
0,77346.34375,240601.1875,0.1502322107553482,0.10946037620306015
1,82754.4609375,240601.1875,0.1169467642903328,0.10946036875247955
2,82795.3828125,240601.171875,0.11629483848810196,0.10946036875247955
3,82648.1328125,240601.1875,0.11676695942878723,0.10946037620306015
4,83695.328125,240601.1875,0.11605475097894669,0.10946037620306015
5,82713.8359375,240601.1875,0.11647942662239075,0.10946037620306015
6,82298.1953125,240601.171875,0.11714727431535721,0.10946037620306015
7,82648.8046875,240601.171875,0.11703339964151382,0.10946037620306015
8,83418.8046875,240601.1875,0.11667554825544357,0.10946037620306015
9,83040.84375,240601.1875,0.1162477657198906,0.10946036875247955
10,82771.015625,240601.1875,0.11642593890428543,0.10946037620306015
11,82835.546875,240601.1875,0.11678355187177658,0.10946036875247955
12,83436.5,240601.171875,0.11603829264640808,0.10946037620306015
13,82720.4765625,240601.1875,0.11691347509622574,0.10946037620306015
14,82952.3046875,240601.1875,0.11639071255922318,0.10946036875247955
